Name,Grade
Number Theory,8
Electromagnetism Optics and Modern Physics,9
Mathematics for Computer Science,8
Operating Systems,9
Web Application Technologies,7
Computational Geometry,8
Software Engineering,7
Computer Systems Protection and Security,8
