Name,Grade
Graphics I,9
Principles of Programming Languages,10
Artificial Intelligence,10
Software Development (Information Systems),10
Structure and Institutions of the EE,9
Cognitive Science,10
Communication Systems,8
Design and Applications of Databases,9
Systems Programming,10
Logic Programming,10
Theory of Computation,7
Compilers,10
Project Management & Scientific Writing,9
Document Processing & Analysis (OCR),10
Parallel Systems,10
Pattern Recognition: Machine Learning,9
