Name,Grade
Play,9
Yesod,7
Flask,10
AngularJS,5
jQuery,7
ReactJS,3
HTML,9
CSS,8
ElasticSearch,7
Celery,10
Webhooks,7
Websockets,4
Server-sent Events (SSE),7
