Name,Grade
Haskell,9
Scala,8
Racket,6
Elm,1
Prolog,9
Datalog,7
Coq,3
SQL,7
C/C++,9
Java,9
Python,9
Matlab,6
Ruby,4
Bash,7
JS,8
Coffeescript,7
